title,year,Id,Category
New Geographical Record for the Two Lesser Known Flatfishes from the North-Eastern Arabian Sea,2022,37,"Effort,Spatial,Fish,Sm,"
"Population structure of the dusky pipefish (Syngnathus floridae) from the Atlantic and Gulf of Mexico, as revealed by mitochondrial DNA and microsatellite analyses",2010,38,"Habitat,Larval_duration,Spatial,Genetic, Historical,Fish,Sm,"
Comparative phylogeography of coastal limpets across a marine disjunction in New Zealand,2006,39,"Genetic,Larval_duration,Oceanography,Historical,Invertebrate,Sm,"
Biological structure of the Pacific Ocean as compared with two other oceans,1981,40,"Community,Habitat,Misc,Bg,Plankton,"
Geographical variation in sound production in the anemonefish Amphiprion akallopisos,2005,41,"Behavior,Spatial,Fish,Sm,"
Marine biogeographical structure in two highly dispersive gastropods: Implications for trans-Tasman dispersal,2007,42,"Genetic,Habitat,Spatial,Historical,Invertebrate,Sm,"
"First record of the genus Vetulina Schmidt, 1879 (Porifera: Demospongiae: Sphaerocladina) from the Indian Ocean with the description of two new species: biogeographic and evolutionary significance",2018,43,"Spatial,Historical,Bg,Invertebrate,"
Global population genetic structure and biogeography of the oceanic copepods Eucalanus hyalinus and E. spinifer,2005,44,"Genetic,Habitat,Oceanography,Spatial,Bg,Mobile_plankton,"
"Two new species of Pseudojuloides from Western Australia and Southern Japan, with a redescription of pseudojuloides elongatus (Teleostei: Labridae)",2020,45,"Unknown,Genetic,Spatial,Bg,Fish,"
Inter-ocean dispersal is an important mechanism in the zoogeography of hakes (Pisces: Merluccius spp.),2001,46,"Unknown,Genetic,Oceanography,Spatial,Historical,Bg,Fish,"
Phylogeography of the sandy beach amphipod Haustorioides japonicus along the Sea of Japan: Paleogeographical signatures of cryptic regional divergences,2018,47,"Genetic,Historical,Invertebrate,Sm,"
Limited phylogeographic structure for five bathyal ophiuroids at continental scales,2014,48,"Unknown,Genetic,Larval_duration,Invertebrate,Sm,"
"Development and characterization of microsatellite markers for the finetooth shark, Carcharhinus isodon",2012,49,"Unknown,Spatial,Fish,Sm,"
"A new genus of Chthamalidae (Cirripedia, Balanomorpha) from the Red Sea and Indian Ocean",1967,50,"Unknown,Spatial,Historical,Invertebrate,Sm,"
Major genetic differences between crown-of-thorns starfish (Acanthaster planci) populations in the Indian and Pacific oceans,1999,51,"Genetic,Historical,Invertebrate,Sm,"
The influence of oceanographic fronts and early-life-history traits on connectivity among littoral fish species,2009,52,"Genetic,Oceanography,Fish,Sm,"
Spatial distribution and life-history aspects of blackspot seabream Pagellus bogaraveo (Osteichthyes: Sparidae),2013,53,"Habitat,Spatial,Fish,Sm,"
"Identifying patterns of dispersal, connectivity and selection in the sea scallop, Placopecten magellanicus, using RADseq-derived SNPs",2017,54,"Unknown,Genetic,Oceanography,Invertebrate,Sm,"
Phylogeography of the copper shark (Carcharhinus brachyurus) in the southern hemisphere: Implications for the conservation of a coastal apex predator,2011,55,"Genetic,Historical,Bg,Fish,"
The first record of palaemon macrodactylus (oriental shrimp) from the eastern coast of North America,2010,56,"Invasive,Spatial,Bg,Invertebrate,"
"Cladophoropsis brachyartra from southern South America is a synonym of Wittrockiella lyallii (Cladophorophyceae, Chlorophyta), previously regarded as endemic to New Zealand",2010,57,"Habitat,Spatial,Temperature,Historical,Algae,Bg,"
Genetic structuring across marine biogeographic boundaries in rocky shore invertebrates,2014,58,"Community,Genetic,Oceanography,Historical,Invertebrate,Sm,"
"Mangrove forests of timor-leste: Ecology, degradation and vulnerability to climate change",2014,59,"Habitat,Spatial,Recent_climate_change,Algae,Sm,"
Is life history a barrier to dispersal? Contrasting patterns of genetic differentiation along an oceanographically complex coast,2008,60,"Genetic,Larval_duration,Invertebrate,Sm,"
"Rediscovery and redescription of the smoothtooth blacktip shark, Carcharhinus leiodon (Carcharhinidae), from Kuwait, with notes on its possible conservation status",2011,61,"Unknown,Spatial,Bg,Fish,"
Disjunct distributions of Halobates (Hemiptera: Gerridae) in the Pacific Ocean,1997,62,"Oceanography,Spatial,Bg,Other,"
"Genetic population structure of sheepshead, Archosargus probatocephalus (Sparidae), a coastal marine fish off the southeastern United States: Multiple population clusters based on species-specific microsatellite markers",2017,63,"Unknown,Genetic,Habitat,Historical,Fish,Sm,"
"Biogeography and natural history of sphaeroma walkeri stebbing (Crustacea: Isopoda) and its introduction to san diego bay, California",1981,64,"Invasive,Spatial,Bg,Invertebrate,"
Biochemical genetics of the sea anemone Bunodosoma cavernata and the zoogeography of the Gulf of Mexico,1982,65,"Genetic,Oceanography,Historical,Invertebrate,Sm,"
"Historic divergence with contemporary connectivity in a catadromous fish, the estuary perch (Macquaria colonorum)",2011,66,"Genetic,Oceanography,Historical,Fish,Sm,"
Ocean currents influence the genetic structure of an intertidal mollusc in southeastern Australia - implications for predicting the movement of passive dispersers across a marine biogeographic barrier,2013,67,"Genetic,Oceanography,Historical,Invertebrate,Sm,"
Phylogeography and species distribution modelling reveal the effects of the Pleistocene ice ages on an intertidal limpet from the south-eastern Pacific,2018,68,"Genetic,Habitat,Historical,Invertebrate,Sm,"
Boomeranging around Australia: Historical biogeography and population genomics of the anti-equatorial fish Microcanthus strigatus (Teleostei: Microcanthidae),2019,69,"Genetic,Spatial,Historical,Bg,Fish,"
Discontinuité hydrobiologique dans le détroit du Pas-de-Calais,1987,70,"Community,Sm,Plankton,"
The marine algae of Hluleka (Transkei) and the warm temperate/sub-tropical transition on the east coast of southern Africa,1987,71,"Spatial,Temperature,Algae,Sm,"
Habitat discontinuities separate genetically divergent populations of a rocky shore marine fish,2016,72,"Genetic,Habitat,Fish,Sm,"
"Evidence of a biogeographic break between populations of a high dispersal starfish: Congruent regions within the Indo-West Pacific defined by color morphs, mtDNA, and allozyme data",1998,73,"Genetic,Oceanography,Historical,Bg,Invertebrate,"
Rapid expansion and facilitating factors of the Ponto-Caspian invader dikerogammarus villosus within the Eastern Baltic sea,2019,74,"Habitat,Invasive,Spatial,Invertebrate,Sm,"
"Redescription of Echinoderes ohtsukai Yamasaki and Kajihara, 2012 and E. kozloffi Higgins, 1977 from the northeastern Pacific coast, including the first report of a potential invasive species of kinorhynch",2016,75,"Invasive,Spatial,Bg,GSpatial,Invertebrate,"
Genetic subdivision of Australian and New Zealand populations of Jasus verreauxi (Decapoda: Palinuridae)—preliminary evidence from the mitochondrial genome,1992,76,"Genetic,Oceanography,Spatial,Bg,Invertebrate,"
"Deep genetic subdivision within a continuously distributed and highly vagile marine mammal, the Steller's sea lion (Eumetopias jubatus)",2006,77,"Behavior,Genetic,Historical,Mammal,Sm,"
Extinction and replacement in the Indo-West Pacific Ocean,1999,78,"Competition,Genetic,Spatial,Historical,Bg,Multiple,"
"Decoupling of short- and long-distance dispersal pathways in the endemic New Zealand seaweed Carpophyllum maschalocarpum (Phaeophyceae, Fucales)",2012,79,"Genetic,Habitat,Larval_duration,Oceanography,Historical,Algae,Sm,"
Comparative phylogeography of three codistributed stomatopods: Origins and timing of regional lineage diversification in the Coral Triangle,2006,80,"Genetic,Oceanography,Historical,Invertebrate,Sm,"
Evolutionary history of the reef fish Anisotremus interruptus (Perciformes: Haemulidae) throughout the Tropical Eastern Pacific,2021,81,"Genetic,Habitat,Spatial,Historical,Fish,Sm,"
Life histories in an epifaunal community: coupling of adult and larval processes,1992,82,"Community,Larval_duration,Oceanography,Spatial,Invertebrate,Sm,"
Contemporary habitat discontinuity and historic glacial ice drive genetic divergence in Chilean kelp,2010,83,"Genetic,Habitat,R,Historical,Algae,Sm,"
Population genetic structure of chub mackerel Scomber japonicus in the Northwestern Pacific inferred from microsatellite analysis,2015,84,"Behavior,Genetic,Larval_duration,Spatial,Fish,Sm,"
Fisheries genomics of snapper (Chrysophrys auratus) along the west Australian coast,2022,85,"Genetic,Larval_duration,Oceanography,Fish,Sm,"
Mitonuclear discordance in genetic structure across the Atlantic/Indian Ocean biogeographical transition zone,2014,86,"Effort,Genetic,Multiple,Sm,"
Comparative phylogeography of black mangroves (Avicennia germinans) and red mangroves (Rhizophora mangle) in Florida: Testing the maritime discontinuity in coastal plants,2016,87,"Genetic,Historical,Algae,Sm,Selection_incompatibility,"
Distribución geográfica y depredación de Porites lobata (Anthozoa: Scleractinia) en la costa occidental de México,1999,88,"Misc,Oceanography,Spatial,Invertebrate,Sm,"
Corals and coral reefs of the Pacific coast of Colombia,2003,89,"Community,Habitat,Oceanography,Spatial,Historical,Invertebrate,Sm,"
Plankton patchiness in the Polar Front region of the west Spitsbergen Shelf,2016,90,"Community,Habitat,Misc,Sm,Plankton,"
"Genetic conspecificity of the worldwide populations of Didemnum vexillum Kott, 2002",2009,91,"Invasive,Spatial,Bg,GSpatial,Invertebrate,"
Biological traits explain the distribution and colonisation ability of the invasive shore crab Hemigrapsus takanoi,2014,92,"Invasive,Spatial,Invertebrate,Sm,"
"First insight of genetic diversity, phylogeographic relationships, and population structure of marine sponge Chondrosia reniformis from the eastern and western Mediterranean coasts of Tunisia",2022,93,"Genetic,Larval_duration,Oceanography,Invertebrate,Sm,"
"Littoral tanaidaceans (Crustacea: Peracarida) from Guerrero and Oaxaca, Mexico",2010,94,"Effort,Spatial,Invertebrate,Sm,"
"Specific niche requirements underpin multidecadal range edge stability, but may introduce barriers for climate change adaptation",2021,95,"Habitat,Misc,Oceanography,Spatial,Recent_climate_change,Invertebrate,Sm,"
Biogeographical patterns of rocky intertidal communities along the Pacific coast of North America,2008,96,"Community,Habitat,Oceanography,Temperature,Benthic,Sm,"
"Progress, problems and patterns in the biogeography of reef corals and other tropical marine organisms",1988,97,"Misc,nogap,"
Phylogeography of seaweeds in the south east pacific: Complex evolutionary processes along a latitudinal gradient,2016,98,"Genetic,Larval_duration,Oceanography,Historical,Algae,Sm,"
Antitropical Distribution and Evolution in the Indo-West Pacific Ocean,1987,99,"Competition,Spatial,Historical,Bg,Multiple,"
Experimental interbreeding between geographically separated populations of the marine wood-boring isopod Limnoria tripunctata with preliminary indications of hybrid vigor,1972,100,"Unknown,Spatial,Bg,Invertebrate,"
Taxonomy and biogeography of the fiddler crabs (Ocypodidae: Genus Uca) of the Atlantic and Gulf coasts of eastern North America,1984,101,"Habitat,Spatial,Temperature,Historical,Invertebrate,Sm,"
"Genetic variation of Littorina horikawai endemic to the western coast and the adjacent islands around Kyushu, Japan inferred by mtDNA analyses",2022,102,"Genetic,Habitat,Larval_duration,Invertebrate,Sm,"
Spatial variation in subtidal plant communities around the Socotra Archipelago and their biogeographic affinities within the Indian Ocean,2003,103,"Unknown,Oceanography,Spatial,Historical,Algae,Sm,"
"Biogeography of Adeonella ( Bryozoa, Cheilostomata): a preliminary account.",1983,104,"Unknown,Spatial,Historical,Bg,Invertebrate,"
A new species of Trochita ( Gastropoda: Calyptraeidae) from Oman: a relict distribution and association with upwelling areas.,1985,105,"Spatial,Historical,Bg,Invertebrate,"
Marine dispersal as a pre-requisite for Gondwanan vicariance among elements of the galaxiid fish fauna,2012,106,"Genetic,Spatial,Historical,Bg,Fish,"
Bloom dynamics of toxic Alexandrium species in the northeastern U.S.,1997,107,"Community,Habitat,Oceanography,Sm,Plankton,"
"Rissoina indiscreta, a new rissoid species from the tropical southwestern Atlantic with Indo-West Pacific affinities (Mollusca, Gastropoda, Rissooidea)",1989,108,"Spatial,Historical,Bg,Invertebrate,"
The genetic architecture of hybridisation between two lineages of greenshell mussels,2015,109,"Genetic,Historical,Invertebrate,Sm,Selection_incompatibility,"
Aspects of mangal ecology along the red sea coast of saudi arabia,1987,110,"Unknown,Spatial,Algae,Sm,"
"Contrasting gene flow at different spatial scales revealed by genotyping- by-sequencing in Isocladus armatus, a massively colour polymorphic New Zealand marine isopod",2018,111,"Genetic,Oceanography,Invertebrate,Sm,"
"Chapter 9 Marine patterns, Part I",1995,112,"Genetic,Spatial,Multiple,nogap,"
Mitochondrial DNA variation reveals a sharp genetic break within the distribution of the blue land crab cardisoma guanhumi in the Western Central Atlantic,2015,113,"Unknown,Genetic,Bg,Invertebrate,"
A new species and new records of marine algae from chile,1989,114,"Invasive,Larval_duration,Spatial,Algae,Sm,"
Small-scale spatial and seasonal differences in the distribution of beach arthropods on the northwestern Tunisian coast. Are species evenly distributed along the shore?,2002,115,"Community,Habitat,Misc,Spatial,Invertebrate,Sm,"
Mangrove biogeography: the role of Quaternary environmental and sea- level change,1991,116,"Spatial,Historical,Algae,Bg,"
"Distribution of dominant copepods in the Nansen Basin, Arctic Ocean, in summer",1992,117,"Community,Oceanography,Spatial,Sm,Mobile_plankton,"
Habitat availability and geographic isolation as potential drivers of population structure in an oceanic dolphin in the Southwest Indian Ocean,2016,118,"Behavior,Genetic,Habitat,Mammal,Sm,"
Thin layers of bioluminescent copepods found at density discontinuities in the water column,1999,119,"Community,Oceanography,Sm,Mobile_plankton,"
Effects of isolation by distance and geographical discontinuity on genetic subdivision of Littoraria cingulata,1998,120,"Genetic,Habitat,Misc,Invertebrate,Sm,Salinity,"
"First discovery – and a new species – of coelogynopora (Platyhelminthes, proseriata) in the southern hemisphere",2021,121,"Unknown,Spatial,Bg,Invertebrate,"
Influence of Grain Size on Burrowing and Alongshore Distribution of the Yellow Clam (Amarilladesma mactroides),2015,122,"Behavior,Habitat,Spatial,Invertebrate,Sm,"
Taxonomic Status and Geographic Variation of the Marine Enchytraeid Genus Grania Southern (Oligochaeta),1976,123,"Unknown,Spatial,Bg,Invertebrate,"
Comparative analysis of the pattern of population genetic diversity in three Indo-West Pacific Rhizophora mangrove species,2016,124,"Genetic,Habitat,Historical,Recent_climate_change,Algae,Sm,"
"Historical and contemporary range expansion of an invasive mussel, Semimytlius algosus, in Angola and Namibia despite data scarcity in an infrequently surveyed region",2020,125,"Invasive,Spatial,Invertebrate,Sm,"
Spatial pattern of genetic and morphological diversity in the direct developer Acanthina monodon (Gastropoda: Mollusca),2011,126,"Genetic,Habitat,Larval_duration,Historical,Invertebrate,Sm,"
Recent brachiopods from the Persian gulf and their biogeographical significance,2008,127,"Spatial,Historical,Sm,Invertebrate,"
"New records and redescription of Halcurias pilatus and Halcurias mcmurrichi (Actiniaria, Endocoelantheae)",2013,128,"Effort,Spatial,Bg,Invertebrate,"
"Occurrence of the Atlantic spotted dolphin, Stenella frontalis, in southern Abrolhos Bank, Brazil",2013,129,"Unknown,Spatial,Mammal,Sm,"
Metabarcoding reveals high-resolution biogeographical and metaphylogeographical patterns through marine barriers,2023,130,"Community,Genetic,Oceanography,Multiple,Sm,"
Stage-specific distribution of barnacle larvae in nearshore waters: Potential for limited dispersal and high mortality rates,2007,131,"Behavior,Community,Larval_duration,Oceanography,Spatial,Invertebrate,Sm,"
Macro- and micro-geographic variation in pantophysin (PanI) allele frequencies in NE Atlantic cod Gadus morhua,2005,132,"Genetic,Habitat,Temperature,Fish,Sm,Salinity,"
On the biogeography of the southwest Atlantic with special reference to the sea anemones (Coelenterata: Actiniaria),1986,133,"Oceanography,Spatial,Invertebrate,Sm,"
Mitochondrial DNA diversity in fishes and its implications for introductions,1991,134,"Genetic,Habitat,Historical,Fish,Sm,"
"Mangroves of Colombia revisited in an era of open data, global changes, and socio-political transition: Homage to Heliodoro Sánchez-Páez",2019,135,"Unknown,Misc,Spatial,Algae,Sm,"
Phenological Patterns of Northern New England Seaweeds,1989,136,"Community,Oceanography,Spatial,Temperature,Historical,Algae,Sm,"
The reef ichthyofauna of Bahrain ( Arabian Gulf) with comments on its zoogeographic affinities.,1987,137,"Unknown,Spatial,Fish,Sm,"
"DNA sequencing reveals three new species of Chamberlainium (Corallinales, Rhodophyta) from South Africa, all formerly passing under Spongites yendoi",2021,138,"Unknown,Spatial,Algae,Sm,"
Progression and Dispersal of an Introduced Alga: Codium Fragile Ssp. Tomentosoides (Chlorophyta) on the Atlantic Coast of North America,1985,139,"Invasive,Spatial,Algae,Bg,"
"Molecular phylogeography and evolutionary history of the estuarine copepod, Acartia tonsa, on the Northwest Atlantic coast",2004,140,"Genetic,Historical,Sm,Mobile_plankton,"
"The systematics of the amphidromous shrimp Macrobrachium americanum Spence Bate, 1868 (Decapoda: Caridea: Palaemonidae) from the Mexican Pacific slope",2021,141,"Unknown,Spatial,GSpatial,Invertebrate,Sm,"
Shallow-Water Coral Communities Support the Separation of Marine Ecoregions on the West-Central Florida Gulf Coast,2020,142,"Community,Habitat,Invertebrate,Sm,"
"Phylogeography of a marine insular endemic in the Atlantic Macaronesia: The Azorean barnacle, Megabalanus azoricus (Pilsbry, 1916)",2015,143,"Genetic,Habitat,Larval_duration,Oceanography,Historical,Invertebrate,Sm,"
Marine Phytogeography of the Benguela Upwelling Region on the West Coast of Southern Africa: A Temperature Dependent Approach1,1986,144,"Community,Oceanography,Spatial,Temperature,Algae,Sm,"
"Long-range dispersal and high-latitude environments influence the population structure of a ""stress-tolerant"" dinoflagellate endosymbiont",2013,145,"Genetic,Misc,Other,Sm,Selection_incompatibility,"
"Redescription of Zonophryxus quinquedens Barnard, 1913 (Crustacea, Isopoda, Dajidae) from the Weddell Sea, Antarctica, with notes on its biology and zoogeography",1994,146,"Unknown,Larval_duration,Spatial,Bg,Invertebrate,"
Hybridization between the blue mussels Mytilus galloprovincialis and M. trossulus along the Pacific coast of North America: Evidence for limited introgression,1999,147,"Genetic,Oceanography,Invertebrate,Sm,"
"Morphological variability, spatial distribution and abundance of Helicostomella species (Ciliophora: Tintinnina) in relation to environmental factors (Argentine shelf; 40-55°S)",2009,148,"Unknown,Habitat,Spatial,Invertebrate,Sm,"
Phylogeographic pattern of Rhizophora (Rhizophoraceae) reveals the importance of both vicariance and long-distance oceanic dispersal to modern mangrove distribution,2014,149,"Genetic,Spatial,Historical,Algae,Bg,"
The Bassian Isthmus and the major ocean currents of southeast Australia influence the phylogeography and population structure of a southern Australian intertidal barnacle Catomerus polymerus (Darwin),2008,150,"Genetic,Habitat,Larval_duration,Oceanography,Historical,Invertebrate,Sm,"
Relationships between the presence of ostreopsis (dinophyceae) in the atlantic coast of the Iberian Peninsula and sea-surface temperature,2012,151,"Spatial,Temperature,Sm,Plankton,"
Evidence of small-scale spatial structuring of phytoplankton alpha- and beta-diversity in the open ocean,2016,152,"Community,Oceanography,Sm,Plankton,"
The trans-Pacific spread of equatorial shallow-marine benthos in the Cretaceous,1988,153,"Spatial,Historical,Benthic,Bg,"
Genetic discontinuity associated with an environmentally induced barrier to gene exchange in the marine snail Littorina saxatilis,2008,154,"Community,Genetic,Habitat,Oceanography,Invertebrate,Sm,"
Evolutionary genetics of the Mytilus edulis complex in the North Atlantic region,1988,155,"Unknown,Genetic,Spatial,GSpatial,Invertebrate,Sm,Selection_incompatibility,"
"Molecular evidence of cryptic speciation in the ""cosmopolitan"" excavating sponge Cliona celata (Porifera, Clionaidae)",2010,156,"Unknown,Genetic,Spatial,Invertebrate,Sm,"
"The Marine Algae of the American Coast between Cape May, New Jersey, and Cape Hatteras, North Carolina) II. The Chlorophycophyta",1974,157,"Effort,Spatial,Algae,Sm,"
�A cleaner break�: Genetic divergence between geographic groups and sympatric phenotypes revealed in ballan wrasse (Labrus bergylta),2020,158,"Genetic,Habitat,Larval_duration,Fish,Sm,"
Pinpointing genetic breaks in the southeastern Pacific: Phylogeography and genetic structure of a commercially important tunicate,2021,159,"Genetic,Habitat,Invasive,Oceanography,Invertebrate,Sm,"
Intertidal population genetic dynamics at a microgeographic seascape scale,2013,160,"Genetic,Habitat,Misc,Algae,Sm,Selection_incompatibility,"
"Genetic population structure of minke whales Balaenoptera acutorostrata from Greenland, the North East Atlantic and the North Sea probably reflects different ecological regions",2003,161,"Competition,Habitat,Oceanography,Spatial,Mammal,Sm,"
"Community structure and geographic distribution of the coral reefs of nayarit, Mexican Pacific",1997,162,"Habitat,Oceanography,Spatial,Invertebrate,Sm,"
"Marine algal flora of French Polynesia III. Rhodophyta, with additions to the phaeophyceae and chlorophyta",2010,163,"Invasive,Oceanography,Spatial,Algae,Bg,"
Genetic differentiation and secondary contact zone in the seagrass Cymodocea nodosa across the Mediterranean-Atlantic transition region,2008,164,"Genetic,Oceanography,Spatial,Temperature,Historical,Algae,Sm,"
Catch me if you can! The story of a colonial ascidian’s takeover bid in Western Australia,2014,165,"Invasive,Spatial,Bg,Invertebrate,"
Contemporary climate change hinders hybrid performance of ecologically dominant marine invertebrates,2021,166,"Spatial,Invertebrate,Sm,Selection_incompatibility,"
"Molecular phylogeny of the aplodactylidae (Perciformes: Cirrhitoidea), a group of Southern Hemisphere marine fishes",2000,167,"Spatial,Historical,Bg,Fish,"
Intraspecific phylogeography across the point conception biogeographic boundary,1998,168,"Unknown,Genetic,Sm,Mobile_plankton,"
Nearshore fish (Pholis gunnellus) persists across the North Atlantic through multiple glacial episodes,2006,169,"Behavior,Genetic,Spatial,Historical,Bg,Fish,"
Genomic and life-history discontinuity reveals a precinctive lineage for a deep-water grouper with gene flow from tropical to temperate waters on the west coast of Australia,2018,170,"Unknown,Genetic,Fish,Sm,"
Fifteen degrees of separation: Latitudinal gradients of rocky intertidal biota along the California Current,2006,171,"Community,Competition,Habitat,Misc,Oceanography,Temperature,Multiple,Sm,"
Tethyan closure drove tropical marine biodiversity: Vicariant diversification of intertidal crustaceans,2018,172,"Spatial,Historical,Bg,Invertebrate,"
Geographical variation in franciscana (Pontoporia blainvillei) external morphology,2012,173,"Unknown,Spatial,Mammal,Sm,"
"Revision of the cardinalfish subgenus jaydia (perciformes, apogonidae, apogon)",1996,174,"Spatial,Historical,Fish,Sm,"
Shifts between sugar kelp and turf algae in Norway: Regime shifts or fluctuations between different opportunistic seaweed species?,2019,175,"Unknown,Competition,Misc,Spatial,Algae,Sm,"
Completely disjunct mitochondrial DNA haplotype distribution without a phylogeographic break in a planktonic developing gastropod,2008,176,"Unknown,Genetic,Historical,Invertebrate,Sm,"
"Phylogeography of the invasive seaweed Asparagopsis (Bonnemaisoniales, Rhodophyta) reveals cryptic diversity",2007,177,"Invasive,Spatial,Algae,Bg,GSpatial,"
"Planktonic ciliates in different water masses in open waters near Prydz Bay (East Antarctica) during austral summer, with an emphasis on tintinnid assemblages",2018,178,"Community,Oceanography,Spatial,Sm,Mobile_plankton,"
"Hawaiian flying squid Nototodarus hawaiiensis (Cephalopoda: Ommastrephidae) in the Arabian Sea: range extension, age, and growth",2023,179,"Unknown,Spatial,Invertebrate,Sm,"
