title,year,Id,Category
"Identifying patterns of dispersal, connectivity and selection in the sea scallop, Placopecten magellanicus, using RADseq-derived SNPs",2017,58,"Unknown,Oceanography,Sm,"
New record for the deep-sea genus Tripoplax (Mollusca: Polyplacophora) in the eastern Pacific,2016,59,"Deep_sea,Effort,Bg,Oxygen,"
Phylogeography of the copper shark (Carcharhinus brachyurus) in the southern hemisphere: Implications for the conservation of a coastal apex predator,2011,60,"Historical,Bg,"
The first record of palaemon macrodactylus (oriental shrimp) from the eastern coast of North America,2010,61,"Invasive,Bg,"
"Cladophoropsis brachyartra from southern South America is a synonym of Wittrockiella lyallii (Cladophorophyceae, Chlorophyta), previously regarded as endemic to New Zealand",2010,62,"Habitat,Temperature,Historical,Bg,"
"GS,enetic structuring across marine biogeographic boundaries in rocky shore invertebrates",2014,63,"Oceanography,Historical,Sm,"
"Mangrove forests of timor-leste: Ecology, degradation and vulnerability to climate change",2014,64,"Habitat,Climate_change,Sm,"
Is life history a barrier to dispersal? Contrasting patterns of genetic differentiation along an oceanographically complex coast,2008,65,"Larval_duration,Sm,"
"Rediscovery and redescription of the smoothtooth blacktip shark, Carcharhinus leiodon (Carcharhinidae), from Kuwait, with notes on its possible conservation status",2011,66,"Unknown,Bg,"
"Disjunct distributions of Halobates (Hemiptera: GS,erridae) in the Pacific Ocean",1997,67,"Oceanography,Bg,Other,"
"GS,enetic population structure of sheepshead, Archosargus probatocephalus (Sparidae), a coastal marine fish off the southeastern United States: Multiple population clusters based on species-specific microsatellite markers",2017,68,"Unknown,Habitat,Historical,Sm,"
"Biogeography and natural history of sphaeroma walkeri stebbing (Crustacea: Isopoda) and its introduction to san diego bay, California",1981,69,"Invasive,Bg,"
"Biochemical genetics of the sea anemone Bunodosoma cavernata and the zoogeography of the GS,ulf of Mexico",1982,70,"Oceanography,Historical,Sm,"
"Historic divergence with contemporary connectivity in a catadromous fish, the estuary perch (Macquaria colonorum)",2011,71,"Oceanography,Historical,Sm,"
Ocean currents influence the genetic structure of an intertidal mollusc in southeastern Australia - implications for predicting the movement of passive dispersers across a marine biogeographic barrier,2013,72,"Oceanography,Historical,Sm,"
Phylogeography and species distribution modelling reveal the effects of the Pleistocene ice ages on an intertidal limpet from the south-eastern Pacific,2018,73,"Habitat,Historical,Sm,"
Boomeranging around Australia: Historical biogeography and population genomics of the anti-equatorial fish Microcanthus strigatus (Teleostei: Microcanthidae),2019,74,"Historical,Bg,"
Discontinuité hydrobiologique dans le détroit du Pas-de-Calais,1987,75,"Sm,"
The marine algae of Hluleka (Transkei) and the warm temperate/sub-tropical transition on the east coast of southern Africa,1987,76,"Temperature,Sm,"
"The effects of depth, distance, and the Mid-Atlantic Ridge on genetic differentiation of abyssal and hadal isopods (Macrostylidae)",2018,77,"Deep_sea,Habitat,Misc,Historical,Sm,"
Habitat discontinuities separate genetically divergent populations of a rocky shore marine fish,2016,78,"Habitat,Sm,"
"Evidence of a biogeographic break between populations of a high dispersal starfish: Congruent regions within the Indo-West Pacific defined by color morphs, mtDNA, and allozyme data",1998,79,"Oceanography,Historical,Bg,"
Structure and biogeography of hydrothermal vent communities,2010,80,"Unknown,Deep_sea,Habitat,Historical,Sm,"
Rapid expansion and facilitating factors of the Ponto-Caspian invader dikerogammarus villosus within the Eastern Baltic sea,2019,81,"Habitat,Invasive,Sm,"
"Redescription of Echinoderes ohtsukai Yamasaki and Kajihara, 2012 and E. kozloffi Higgins, 1977 from the northeastern Pacific coast, including the first report of a potential invasive species of kinorhynch",2016,82,"Invasive,Bg,"
"GS,enetic subdivision of Australian and New Zealand populations of Jasus verreauxi (Decapoda: Palinuridae)—preliminary evidence from the mitochondrial genome",1992,83,"Oceanography,Bg,"
"Deep genetic subdivision within a continuously distributed and highly vagile marine mammal, the Steller's sea lion (Eumetopias jubatus)",2006,84,"Behavior,Historical,Sm,"
Extinction and replacement in the Indo-West Pacific Ocean,1999,85,"Competition,Historical,Bg,"
"Decoupling of short- and long-distance dispersal pathways in the endemic New Zealand seaweed Carpophyllum maschalocarpum (Phaeophyceae, Fucales)",2012,86,"Habitat,Larval_duration,Oceanography,Historical,Sm,"
Population genetic differentiation of the hydrothermal vent crab Austinograea alayseae (Crustacea: Bythograeidae) in the southwest Pacific Ocean,2019,87,"Deep_sea,Oceanography,Historical,Sm,"
Comparative phylogeography of three codistributed stomatopods: Origins and timing of regional lineage diversification in the Coral Triangle,2006,88,"Oceanography,Historical,Sm,"
Evolutionary history of the reef fish Anisotremus interruptus (Perciformes: Haemulidae) throughout the Tropical Eastern Pacific,2021,89,"Habitat,Historical,Sm,"
Life histories in an epifaunal community: coupling of adult and larval processes,1992,90,"Larval_duration,Oceanography,Sm,"
Contemporary habitat discontinuity and historic glacial ice drive genetic divergence in Chilean kelp,2010,91,"Habitat,R,Historical,Sm,"
Population genetic structure of chub mackerel Scomber japonicus in the Northwestern Pacific inferred from microsatellite analysis,2015,92,"Behavior,Larval_duration,Sm,"
Fisheries genomics of snapper (Chrysophrys auratus) along the west Australian coast,2022,93,"Larval_duration,Oceanography,Sm,"
Mitonuclear discordance in genetic structure across the Atlantic/Indian Ocean biogeographical transition zone,2014,94,"Effort,Sm,"
Comparative phylogeography of black mangroves (Avicennia germinans) and red mangroves (Rhizophora mangle) in Florida: Testing the maritime discontinuity in coastal plants,2016,95,"Historical,Sm,Selection_incompatibility,"
Distribución geográfica y depredación de Porites lobata (Anthozoa: Scleractinia) en la costa occidental de México,1999,96,"Misc,Oceanography,Sm,"
Corals and coral reefs of the Pacific coast of Colombia,2003,97,"Habitat,Oceanography,Historical,Sm,"
Plankton patchiness in the Polar Front region of the west Spitsbergen Shelf,2016,98,"Habitat,Misc,Sm,"
"GS,enetic conspecificity of the worldwide populations of Didemnum vexillum Kott, 2002",2009,99,"Invasive,Bg,"
Biological traits explain the distribution and colonisation ability of the invasive shore crab Hemigrapsus takanoi,2014,100,"Invasive,Sm,"
"First insight of genetic diversity, phylogeographic relationships, and population structure of marine sponge Chondrosia reniformis from the eastern and western Mediterranean coasts of Tunisia",2022,101,"Larval_duration,Oceanography,Sm,"
"Littoral tanaidaceans (Crustacea: Peracarida) from GS,uerrero and Oaxaca, Mexico",2010,102,"Effort,Sm,"
"Review of the history of the deep-sea ostracod genera Abyssocythere Benson and Dutoitella Dingle, and their responses to Cretaceous – Cenozoic oceanic water-mass changes",2022,103,"Deep_sea,Historical,Bg,"
"Specific niche requirements underpin multidecadal range edge stability, but may introduce barriers for climate change adaptation",2021,104,"Habitat,Misc,Oceanography,Climate_change,Sm,"
Biogeographical patterns of rocky intertidal communities along the Pacific coast of North America,2008,105,"Habitat,Oceanography,Temperature,Sm,"
"Progress, problems and patterns in the biogeography of reef corals and other tropical marine organisms",1988,106,"Misc,nogap,"
Phylogeography of seaweeds in the south east pacific: Complex evolutionary processes along a latitudinal gradient,2016,107,"Larval_duration,Oceanography,Historical,Sm,"
Antitropical Distribution and Evolution in the Indo-West Pacific Ocean,1987,108,"Competition,Historical,Bg,"
Experimental interbreeding between geographically separated populations of the marine wood-boring isopod Limnoria tripunctata with preliminary indications of hybrid vigor,1972,109,"Unknown,Bg,"
"Taxonomy and biogeography of the fiddler crabs (Ocypodidae: GS,enus Uca) of the Atlantic and GS,ulf coasts of eastern North America",1984,110,"Habitat,Temperature,Historical,Sm,"
"GS,enetic variation of Littorina horikawai endemic to the western coast and the adjacent islands around Kyushu, Japan inferred by mtDNA analyses",2022,111,"Habitat,Larval_duration,Sm,"
Spatial variation in subtidal plant communities around the Socotra Archipelago and their biogeographic affinities within the Indian Ocean,2003,112,"Unknown,Oceanography,Historical,Sm,"
"Biogeography of Adeonella ( Bryozoa, Cheilostomata): a preliminary account.",1983,113,"Unknown,Historical,Bg,"
"A new species of Trochita ( GS,astropoda: Calyptraeidae) from Oman: a relict distribution and association with upwelling areas.",1985,114,"Historical,Bg,"
"Marine dispersal as a pre-requisite for GS,ondwanan vicariance among elements of the galaxiid fish fauna",2012,115,"Historical,Bg,"
Bloom dynamics of toxic Alexandrium species in the northeastern U.S.,1997,116,"Habitat,Oceanography,Sm,"
"Rissoina indiscreta, a new rissoid species from the tropical southwestern Atlantic with Indo-West Pacific affinities (Mollusca, GS,astropoda, Rissooidea)",1989,117,"Historical,Bg,"
The genetic architecture of hybridisation between two lineages of greenshell mussels,2015,118,"Historical,Sm,Selection_incompatibility,"
Aspects of mangal ecology along the red sea coast of saudi arabia,1987,119,"Unknown,Sm,"
"Contrasting gene flow at different spatial scales revealed by genotyping- by-sequencing in Isocladus armatus, a massively colour polymorphic New Zealand marine isopod",2018,120,"Oceanography,Sm,"
"Chapter 9 Marine patterns, Part I",1995,121,"nogap,"
Mitochondrial DNA variation reveals a sharp genetic break within the distribution of the blue land crab cardisoma guanhumi in the Western Central Atlantic,2015,122,"Unknown,Bg,"
A new species and new records of marine algae from chile,1989,123,"Invasive,Larval_duration,Sm,"
Small-scale spatial and seasonal differences in the distribution of beach arthropods on the northwestern Tunisian coast. Are species evenly distributed along the shore?,2002,124,"Habitat,Misc,Sm,"
Mangrove biogeography: the role of Quaternary environmental and sea- level change,1991,125,"Historical,Bg,"
"Distribution of dominant copepods in the Nansen Basin, Arctic Ocean, in summer",1992,126,"Oceanography,Sm,"
Habitat availability and geographic isolation as potential drivers of population structure in an oceanic dolphin in the Southwest Indian Ocean,2016,127,"Behavior,Habitat,Sm,"
Thin layers of bioluminescent copepods found at density discontinuities in the water column,1999,128,"Oceanography,Sm,"
Effects of isolation by distance and geographical discontinuity on genetic subdivision of Littoraria cingulata,1998,129,"Habitat,Misc,Sm,Salinity,"
"First discovery – and a new species – of coelogynopora (Platyhelminthes, proseriata) in the southern hemisphere",2021,130,"Unknown,Bg,"
"Influence of GS,rain Size on Burrowing and Alongshore Distribution of the Yellow Clam (Amarilladesma mactroides)",2015,131,"Behavior,Habitat,Sm,"
"Taxonomic Status and GS,eographic Variation of the Marine Enchytraeid GS,enus GS,rania Southern (Oligochaeta)",1976,132,"Unknown,Bg,"
Comparative analysis of the pattern of population genetic diversity in three Indo-West Pacific Rhizophora mangrove species,2016,133,"Habitat,Historical,Climate_change,Sm,"
"Historical and contemporary range expansion of an invasive mussel, Semimytlius algosus, in Angola and Namibia despite data scarcity in an infrequently surveyed region",2020,134,"Invasive,Sm,"
"Spatial pattern of genetic and morphological diversity in the direct developer Acanthina monodon (GS,astropoda: Mollusca)",2011,135,"Habitat,Larval_duration,Historical,Sm,"
Recent brachiopods from the Persian gulf and their biogeographical significance,2008,136,"Historical,Sm,"
"Vertical, lateral and temporal structure in larval distributions at hydrothermal vents",2005,137,"Deep_sea,Larval_duration,Oceanography,Sm,"
"New records and redescription of Halcurias pilatus and Halcurias mcmurrichi (Actiniaria, Endocoelantheae)",2013,138,"Effort,Bg,"
"Occurrence of the Atlantic spotted dolphin, Stenella frontalis, in southern Abrolhos Bank, Brazil",2013,139,"Unknown,Sm,"
Metabarcoding reveals high-resolution biogeographical and metaphylogeographical patterns through marine barriers,2023,140,"Oceanography,Sm,"
Stage-specific distribution of barnacle larvae in nearshore waters: Potential for limited dispersal and high mortality rates,2007,141,"Behavior,Larval_duration,Oceanography,Sm,"
"Macro- and micro-geographic variation in pantophysin (PanI) allele frequencies in NE Atlantic cod GS,adus morhua",2005,142,"Habitat,Temperature,Sm,Salinity,"
On the biogeography of the southwest Atlantic with special reference to the sea anemones (Coelenterata: Actiniaria),1986,143,"Oceanography,Sm,"
Mitochondrial DNA diversity in fishes and its implications for introductions,1991,144,"Habitat,Historical,Sm,"
"Mangroves of Colombia revisited in an era of open data, global changes, and socio-political transition: Homage to Heliodoro Sánchez-Páez",2019,145,"Unknown,Misc,Sm,"
Phenological Patterns of Northern New England Seaweeds,1989,146,"Oceanography,Temperature,Historical,Sm,"
"The reef ichthyofauna of Bahrain ( Arabian GS,ulf) with comments on its zoogeographic affinities.",1987,147,"Unknown,Sm,"
When gaps really are gaps: Statistical phylogeography of hydrothermal vent invertebrates,2010,148,"Deep_sea,Effort,Misc,Sm,"
"DNA sequencing reveals three new species of Chamberlainium (Corallinales, Rhodophyta) from South Africa, all formerly passing under Spongites yendoi",2021,149,"Unknown,Sm,"
Progression and Dispersal of an Introduced Alga: Codium Fragile Ssp. Tomentosoides (Chlorophyta) on the Atlantic Coast of North America,1985,150,"Invasive,Bg,"
"Molecular phylogeography and evolutionary history of the estuarine copepod, Acartia tonsa, on the Northwest Atlantic coast",2004,151,"Historical,Sm,"
"The systematics of the amphidromous shrimp Macrobrachium americanum Spence Bate, 1868 (Decapoda: Caridea: Palaemonidae) from the Mexican Pacific slope",2021,152,"Unknown,Sm,"
"Shallow-Water Coral Communities Support the Separation of Marine Ecoregions on the West-Central Florida GS,ulf Coast",2020,153,"Habitat,Sm,"
"Phylogeography of a marine insular endemic in the Atlantic Macaronesia: The Azorean barnacle, Megabalanus azoricus (Pilsbry, 1916)",2015,154,"Habitat,Larval_duration,Oceanography,Historical,Sm,"
Marine Phytogeography of the Benguela Upwelling Region on the West Coast of Southern Africa: A Temperature Dependent Approach1,1986,155,"Oceanography,Temperature,Sm,"
"Long-range dispersal and high-latitude environments influence the population structure of a ""stress-tolerant"" dinoflagellate endosymbiont",2013,156,"Misc,Other,Sm,Selection_incompatibility,"
"Redescription of Zonophryxus quinquedens Barnard, 1913 (Crustacea, Isopoda, Dajidae) from the Weddell Sea, Antarctica, with notes on its biology and zoogeography",1994,157,"Unknown,Larval_duration,Bg,"
Hybridization between the blue mussels Mytilus galloprovincialis and M. trossulus along the Pacific coast of North America: Evidence for limited introgression,1999,158,"Oceanography,Sm,"
"Morphological variability, spatial distribution and abundance of Helicostomella species (Ciliophora: Tintinnina) in relation to environmental factors (Argentine shelf; 40-55°S)",2009,159,"Unknown,Habitat,Sm,"
Phylogeographic pattern of Rhizophora (Rhizophoraceae) reveals the importance of both vicariance and long-distance oceanic dispersal to modern mangrove distribution,2014,160,"Historical,Bg,"
The Bassian Isthmus and the major ocean currents of southeast Australia influence the phylogeography and population structure of a southern Australian intertidal barnacle Catomerus polymerus (Darwin),2008,161,"Habitat,Larval_duration,Oceanography,Historical,Sm,"
Relationships between the presence of ostreopsis (dinophyceae) in the atlantic coast of the Iberian Peninsula and sea-surface temperature,2012,162,"Temperature,Sm,"
Evidence of small-scale spatial structuring of phytoplankton alpha- and beta-diversity in the open ocean,2016,163,"Oceanography,Sm,"
Ecology of the deep-sea benthos,1969,164,"Deep_sea,Habitat,Misc,Sm,"
The trans-Pacific spread of equatorial shallow-marine benthos in the Cretaceous,1988,165,"Historical,Bg,"
"GS,enetic discontinuity associated with an environmentally induced barrier to gene exchange in the marine snail Littorina saxatilis",2008,166,"Habitat,Oceanography,Sm,"
Evolutionary genetics of the Mytilus edulis complex in the North Atlantic region,1988,167,"Unknown,Sm,Selection_incompatibility,"
"Molecular evidence of cryptic speciation in the ""cosmopolitan"" excavating sponge Cliona celata (Porifera, Clionaidae)",2010,168,"Unknown,Sm,"
"The Marine Algae of the American Coast between Cape May, New Jersey, and Cape Hatteras, North Carolina) II. The Chlorophycophyta",1974,169,"Effort,Sm,"
"“A cleaner break”: GS,enetic divergence between geographic groups and sympatric phenotypes revealed in ballan wrasse (Labrus bergylta)",2020,170,"Habitat,Larval_duration,Sm,"
Ecology and zoogeography of deep-reef fishes in northeastern Brazil,2005,171,"Unknown,Deep_sea,Effort,Bg,"
Pinpointing genetic breaks in the southeastern Pacific: Phylogeography and genetic structure of a commercially important tunicate,2021,172,"Habitat,Invasive,Oceanography,Sm,"
Tropical transpacific shore fishes,2004,173,"Deep_sea,Larval_duration,Oceanography,Bg,"
"The point on Opaliopsis atlantis (GS,astropoda: Epitoniidae) distribution: New data from the Mediterranean and implications",2020,174,"Deep_sea,Larval_duration,Bg,"
Intertidal population genetic dynamics at a microgeographic seascape scale,2013,175,"Habitat,Misc,Sm,Selection_incompatibility,"
"GS,enetic population structure of minke whales Balaenoptera acutorostrata from GS,reenland, the North East Atlantic and the North Sea probably reflects different ecological regions",2003,176,"Competition,Habitat,Oceanography,Sm,"
"Community structure and geographic distribution of the coral reefs of nayarit, Mexican Pacific",1997,177,"Habitat,Oceanography,Sm,"
"Marine algal flora of French Polynesia III. Rhodophyta, with additions to the phaeophyceae and chlorophyta",2010,178,"Invasive,Oceanography,Bg,"
"GS,enetic differentiation and secondary contact zone in the seagrass Cymodocea nodosa across the Mediterranean-Atlantic transition region",2008,179,"Oceanography,Temperature,Historical,Sm,"
Catch me if you can! The story of a colonial ascidian’s takeover bid in Western Australia,2014,180,"Invasive,Bg,"
Contemporary climate change hinders hybrid performance of ecologically dominant marine invertebrates,2021,181,"Sm,Selection_incompatibility,"
"Molecular phylogeny of the aplodactylidae (Perciformes: Cirrhitoidea), a group of Southern Hemisphere marine fishes",2000,182,"Historical,Bg,"
Intraspecific phylogeography across the point conception biogeographic boundary,1998,183,"Unknown,Sm,"
Nearshore fish (Pholis gunnellus) persists across the North Atlantic through multiple glacial episodes,2006,184,"Behavior,Historical,Bg,"
"GS,enomic and life-history discontinuity reveals a precinctive lineage for a deep-water grouper with gene flow from tropical to temperate waters on the west coast of Australia",2018,185,"Unknown,Sm,"
Fifteen degrees of separation: Latitudinal gradients of rocky intertidal biota along the California Current,2006,186,"Competition,Habitat,Misc,Oceanography,Temperature,Sm,"
Tethyan closure drove tropical marine biodiversity: Vicariant diversification of intertidal crustaceans,2018,187,"Historical,Bg,"
"GS,eographical variation in franciscana (Pontoporia blainvillei) external morphology",2012,188,"Unknown,Sm,"
"Revision of the cardinalfish subgenus jaydia (perciformes, apogonidae, apogon)",1996,189,"Historical,Sm,"
Shifts between sugar kelp and turf algae in Norway: Regime shifts or fluctuations between different opportunistic seaweed species?,2019,190,"Unknown,Competition,Misc,Sm,"
Completely disjunct mitochondrial DNA haplotype distribution without a phylogeographic break in a planktonic developing gastropod,2008,191,"Unknown,Historical,Sm,"
"Phylogeography of the invasive seaweed Asparagopsis (Bonnemaisoniales, Rhodophyta) reveals cryptic diversity",2007,192,"Invasive,Bg,"
"Planktonic ciliates in different water masses in open waters near Prydz Bay (East Antarctica) during austral summer, with an emphasis on tintinnid assemblages",2018,193,"Oceanography,Sm,"
"Hawaiian flying squid Nototodarus hawaiiensis (Cephalopoda: Ommastrephidae) in the Arabian Sea: range extension, age, and growth",2023,194,"Unknown,Sm,"
Latitudinal transects in the southeastern Pacific Ocean reveal a diverse but patchy distribution of phycotoxins,2011,195,"Unknown,Sm,"
"Locating faunal breaks in the nearshore fish assemblage of Victoria, Australia",2012,196,"Habitat,Oceanography,Temperature,Sm,"
Multilocus allozyme differentiation of mussel populations Mytilus galloprovincialis Lmk. from Moroccan coasts,2002,197,"Larval_duration,Oceanography,Temperature,Sm,Selection_incompatibility,"
"GS,enetic structure of the giant kelp Macrocystis pyrifera along the southeastern Pacific",2010,198,"Misc,Oceanography,Historical,Sm,"
Characterization of disjunct populations of Zostera marina (eelgrass) from California: genetic differences resolved by restriction-fragment length polymorphisms,1992,199,"Unknown,Sm,"
Phylogeographic structure in benthic marine invertebrates of the southeast pacific coast of Chile with differing dispersal potential,2014,200,"Larval_duration,Historical,Sm,"
The age and diversification of metacrangonyctid subterranean amphipod crustaceans revisited,2019,201,"Historical,Bg,"
Seaweeds in two oceans: Beta-diversity,2017,202,"Oceanography,Historical,Bg,"
"Patterns of adult abundance vary with recruitment of an invasive barnacle species on Oahu, Hawaii",2015,203,"Habitat,Invasive,Larval_duration,Oceanography,Sm,"
Effect of meteorological and hydrographic disturbances on the microplankton community structure in the Ria de Vigo (NW Spain),2000,204,"Oceanography,Sm,"
Supply of gastropod larvae to hydrothermal vents reflects transport from local larval sources,2008,205,"Deep_sea,Larval_duration,Oceanography,Sm,"
"Electrophoretic and biometric variability in the abyssal grenadier Coryphaenoides armatus of the western North Atlantic, eastern South Pacific and eastern North Pacific Oceans",1984,206,"Unknown,Effort,Bg,"
Behaviour in flow: perspectives on the distribution and dispersion of meroplanktonic larvae in the water column,2001,207,"Behavior,Larval_duration,Oceanography,Sm,"
"GS,enetic analyses of rafted macroalgae reveal regional oceanographic connectivity patterns",2015,208,"Larval_duration,Oceanography,R,Sm,"
